strategy,feature_count_target,n_selected,seed,class_id,class_name,producer_accuracy,user_accuracy,f1,support_true,support_pred
RF_Pearson,40,40,2027,2,Intercrop coffee,0.9111111111111111,0.8282828282828283,0.8677248677248678,90,99
RF_Pearson,40,40,2027,3,Newly planted coffee,0.9888888888888889,0.9468085106382979,0.9673913043478262,90,94
RF_Pearson,40,40,2027,4,Rubber,0.9222222222222223,1.0,0.9595375722543353,90,83
RF_Pearson,40,40,2027,5,Partially vegetative,0.9666666666666667,0.9456521739130435,0.956043956043956,90,92
RF_Pearson,40,40,2027,6,Rice,0.9333333333333333,1.0,0.9655172413793104,90,84
RF_Pearson,40,40,2027,7,Other upland crops,0.9555555555555556,0.9555555555555556,0.9555555555555556,90,90
RF_Pearson,40,40,2027,8,Forest,0.9555555555555556,0.9247311827956989,0.9398907103825136,90,93
RF_Pearson,40,40,2027,9,Water,0.9666666666666667,0.9666666666666667,0.9666666666666667,90,90
RF_Pearson,40,40,2027,10,Built,0.9666666666666667,0.9456521739130435,0.956043956043956,90,92
RF_Pearson,40,40,2028,1,Sun coffee,0.8111111111111111,0.8902439024390244,0.8488372093023255,90,82
RF_Pearson,40,40,2028,2,Intercrop coffee,0.9111111111111111,0.8282828282828283,0.8677248677248678,90,99
RF_Pearson,40,40,2028,3,Newly planted coffee,0.9888888888888889,0.9468085106382979,0.9673913043478262,90,94
RF_Pearson,40,40,2028,4,Rubber,0.9111111111111111,1.0,0.9534883720930233,90,82
RF_Pearson,40,40,2028,5,Partially vegetative,0.9666666666666667,0.9354838709677419,0.9508196721311476,90,93
RF_Pearson,40,40,2028,6,Rice,0.9333333333333333,1.0,0.9655172413793104,90,84
RF_Pearson,40,40,2028,7,Other upland crops,0.9666666666666667,0.9456521739130435,0.956043956043956,90,92
RF_Pearson,40,40,2028,8,Forest,0.9555555555555556,0.9347826086956522,0.945054945054945,90,92
RF_Pearson,40,40,2028,9,Water,0.9666666666666667,0.9666666666666667,0.9666666666666667,90,90
RF_Pearson,40,40,2028,10,Built,0.9666666666666667,0.9456521739130435,0.956043956043956,90,92
RF_VIF10,20,15,2024,1,Sun coffee,0.7555555555555555,0.8607594936708861,0.8047337278106509,90,79
