config_no,config_name,fold,n_train,n_test,n_candidate_features,n_selected_features,OA,Kappa,MacroF1,CoffeeBinaryF1,CoffeeSubclassMacroF1
4,Sentinel-1 + Sentinel-2,1,2400,600,67,25,0.92,0.9111111111111111,0.9194520690178865,0.949438202247191,0.8297978685011481
4,Sentinel-1 + Sentinel-2,2,2400,600,67,25,0.9316666666666666,0.924074074074074,0.9301251647140892,0.962536023054755,0.8445904032110928
4,Sentinel-1 + Sentinel-2,3,2400,600,67,25,0.9316666666666666,0.924074074074074,0.9319054484119826,0.958904109589041,0.8705515566219378
4,Sentinel-1 + Sentinel-2,4,2400,600,67,25,0.9466666666666667,0.9407407407407408,0.9462181851134199,0.9719101123595506,0.8866970096219108
4,Sentinel-1 + Sentinel-2,5,2400,600,67,25,0.9166666666666666,0.9074074074074074,0.9146626943636031,0.9613259668508287,0.80562106918239
5,Sentinel-2 + Landsat,1,2400,600,78,25,0.94,0.9333333333333333,0.9397310450744178,0.958217270194986,0.8845935310086492
5,Sentinel-2 + Landsat,2,2400,600,78,25,0.9383333333333334,0.9314814814814815,0.9368235440375348,0.9715909090909091,0.8601482259570495
5,Sentinel-2 + Landsat,3,2400,600,78,25,0.9483333333333334,0.9425925925925926,0.9484135190899105,0.9753424657534246,0.9037156487267352
5,Sentinel-2 + Landsat,4,2400,600,78,25,0.9466666666666667,0.9407407407407408,0.9461513884225408,0.9720670391061452,0.8871501249781558
5,Sentinel-2 + Landsat,5,2400,600,78,25,0.925,0.9166666666666666,0.9236025552144456,0.9666666666666667,0.8333333333333334
6,Sentinel-1 + Sentinel-2 + DEM,1,2400,600,71,25,0.9516666666666667,0.9462962962962963,0.9515731343347091,0.9637883008356546,0.8965781978269772
6,Sentinel-1 + Sentinel-2 + DEM,2,2400,600,71,25,0.9516666666666667,0.9462962962962963,0.9501698641538958,0.9772727272727273,0.8769573987355757
6,Sentinel-1 + Sentinel-2 + DEM,3,2400,600,71,25,0.95,0.9444444444444444,0.9501779994390611,0.9645776566757494,0.915198337399476
6,Sentinel-1 + Sentinel-2 + DEM,4,2400,600,71,25,0.9616666666666667,0.9574074074074074,0.9613517236857941,0.9720670391061452,0.9098471986417658
6,Sentinel-1 + Sentinel-2 + DEM,5,2400,600,71,25,0.9366666666666666,0.9296296296296296,0.9360179881134061,0.9613259668508287,0.8646299212598425
7,Sentinel-1 + Landsat + DEM,1,2400,600,45,25,0.9483333333333334,0.9425925925925925,0.9482953014138221,0.9643835616438357,0.9148401566885825
7,Sentinel-1 + Landsat + DEM,2,2400,600,45,25,0.9316666666666666,0.924074074074074,0.9309565092090342,0.9606741573033708,0.8849496183156974
7,Sentinel-1 + Landsat + DEM,3,2400,600,45,25,0.9366666666666666,0.9296296296296296,0.9369586989216436,0.9565217391304348,0.9017333695357045
7,Sentinel-1 + Landsat + DEM,4,2400,600,45,25,0.9666666666666667,0.962962962962963,0.9664571622382006,0.9775280898876404,0.9313776243888409
7,Sentinel-1 + Landsat + DEM,5,2400,600,45,25,0.9416666666666667,0.9351851851851851,0.9410293289226737,0.9558011049723757,0.8702448637662052
8,Sentinel-2 + Landsat + DEM,1,2400,600,82,25,0.955,0.95,0.9549301420282145,0.9695290858725761,0.9136552275641469
8,Sentinel-2 + Landsat + DEM,2,2400,600,82,25,0.9433333333333334,0.937037037037037,0.9419591505265842,0.9745042492917847,0.8691039799270374
8,Sentinel-2 + Landsat + DEM,3,2400,600,82,25,0.9616666666666667,0.9574074074074074,0.9617324058366927,0.9753424657534246,0.9424197263243462
8,Sentinel-2 + Landsat + DEM,4,2400,600,82,25,0.9683333333333334,0.9648148148148148,0.9682172819999032,0.9776536312849162,0.9272175536881418
8,Sentinel-2 + Landsat + DEM,5,2400,600,82,25,0.9466666666666667,0.9407407407407408,0.9462618472381392,0.9723756906077348,0.8869601178649398
9,Sentinel-1 + Sentinel-2 + Landsat,1,2400,600,93,25,0.9366666666666666,0.9296296296296296,0.9364764334598901,0.96398891966759,0.868542238277103
9,Sentinel-1 + Sentinel-2 + Landsat,2,2400,600,93,25,0.935,0.9277777777777778,0.9332741769699254,0.9629629629629629,0.8561799719887956
9,Sentinel-1 + Sentinel-2 + Landsat,3,2400,600,93,25,0.9466666666666667,0.9407407407407408,0.946951191408324,0.9754768392370572,0.8988434083310745
9,Sentinel-1 + Sentinel-2 + Landsat,4,2400,600,93,25,0.9633333333333334,0.9592592592592593,0.9630970179371033,0.9803921568627451,0.9237904104214265
9,Sentinel-1 + Sentinel-2 + Landsat,5,2400,600,93,25,0.925,0.9166666666666666,0.9238426624562157,0.96398891966759,0.8265077976364066
10,Sentinel-1 + Sentinel-2 + Landsat + DEM,1,2400,600,97,25,0.965,0.9611111111111111,0.9650371413300805,0.9750692520775623,0.9305695346382521
10,Sentinel-1 + Sentinel-2 + Landsat + DEM,2,2400,600,97,25,0.9483333333333334,0.9425925925925926,0.947177368898379,0.9715909090909091,0.8720996732026144
10,Sentinel-1 + Sentinel-2 + Landsat + DEM,3,2400,600,97,25,0.9616666666666667,0.9574074074074074,0.9619323204075222,0.9809264305177112,0.9319771624496793
10,Sentinel-1 + Sentinel-2 + Landsat + DEM,4,2400,600,97,25,0.9733333333333334,0.9703703703703703,0.9730974161646193,0.9805013927576601,0.9350841880678957
10,Sentinel-1 + Sentinel-2 + Landsat + DEM,5,2400,600,97,25,0.9466666666666667,0.9407407407407408,0.9463675875868557,0.9696969696969697,0.8739875623655151
