feature,importance,strategy,feature_count_target,n_selected,seed,rank
L89_dry_Red,0.03267180881674797,RF_rank_only,30,30,2027,13
S2_dry_B12,0.031260417693315674,RF_rank_only,30,30,2027,14
L89_dry_Green,0.03125165175264274,RF_rank_only,30,30,2027,15
L89_dry_BSI,0.031108988263477286,RF_rank_only,30,30,2027,16
S2_dry_B8,0.03105142371549953,RF_rank_only,30,30,2027,17
S2_dry_B2,0.030892288117238674,RF_rank_only,30,30,2027,18
S2_wet_NBR,0.030220836766535922,RF_rank_only,30,30,2027,19
L89_dry_NBR,0.03011211014027724,RF_rank_only,30,30,2027,20
S2_dry_B7,0.029673720830361638,RF_rank_only,30,30,2027,21
L89_dry_SWIR2,0.029624529041215514,RF_rank_only,30,30,2027,22
S2_dry_NDWI,0.028736195908570857,RF_rank_only,30,30,2027,23
S2_dry_NDI,0.028079507078508106,RF_rank_only,30,30,2027,24
L89_dry_Blue,0.02734224651910572,RF_rank_only,30,30,2027,25
L89_dry_SWIR1,0.027213325152453016,RF_rank_only,30,30,2027,26
S2_dry_B3,0.02667305114583951,RF_rank_only,30,30,2027,27
L89_dry_NDMI,0.02663504211498899,RF_rank_only,30,30,2027,28
L89_dry_SWIR2_p75,0.025523742952495578,RF_rank_only,30,30,2027,29
S2_dry_MTCI,0.020354170984929015,RF_rank_only,30,30,2027,30
S2_dry_CVI,0.05486363740716434,RF_rank_only,30,30,2028,1
DEM_elevation,0.04957028771728192,RF_rank_only,30,30,2028,2
S2_wet_NBR2,0.04887693696402684,RF_rank_only,30,30,2028,3
S2_dry_MNDWI,0.048132110699125374,RF_rank_only,30,30,2028,4
S1_VHasc_p50,0.03780224824992794,RF_rank_only,30,30,2028,5
S2_dry_NBR2,0.03778310826609995,RF_rank_only,30,30,2028,6
S2_dry_B11,0.0359274190764863,RF_rank_only,30,30,2028,7
S1_VVasc_p50,0.03570742801484294,RF_rank_only,30,30,2028,8
S2_wet_GNDVI,0.03465656371147045,RF_rank_only,30,30,2028,9
L89_dry_NBR2,0.034365970493083785,RF_rank_only,30,30,2028,10
S2_wet_NDWI,0.03252519752928647,RF_rank_only,30,30,2028,11
S2_dry_B8,0.03198814154874699,RF_rank_only,30,30,2028,12
L89_dry_BSI,0.031561542132896594,RF_rank_only,30,30,2028,13
S2_dry_B2,0.03144747839799503,RF_rank_only,30,30,2028,14
S2_dry_B12,0.031217212168967858,RF_rank_only,30,30,2028,15
L89_dry_Green,0.030960636989090982,RF_rank_only,30,30,2028,16
S2_dry_B6,0.03080454883416994,RF_rank_only,30,30,2028,17
L89_dry_Red,0.03065888685004229,RF_rank_only,30,30,2028,18
S2_wet_NBR,0.030364766250470018,RF_rank_only,30,30,2028,19
L89_dry_NBR,0.03012923285791715,RF_rank_only,30,30,2028,20
S2_dry_B7,0.02950821442137501,RF_rank_only,30,30,2028,21
S2_dry_NDWI,0.0288507946739581,RF_rank_only,30,30,2028,22
S2_dry_NDI,0.02854602021156133,RF_rank_only,30,30,2028,23
L89_dry_SWIR2,0.028246045324036365,RF_rank_only,30,30,2028,24
L89_dry_SWIR1,0.027525437212608573,RF_rank_only,30,30,2028,25
L89_dry_NDMI,0.027460387863419262,RF_rank_only,30,30,2028,26
S2_dry_B3,0.027232562575596884,RF_rank_only,30,30,2028,27
L89_dry_Blue,0.026086118151752716,RF_rank_only,30,30,2028,28
L89_dry_SWIR2_p75,0.025558482944970578,RF_rank_only,30,30,2028,29
S2_dry_MTCI,0.021642582461628257,RF_rank_only,30,30,2028,30
S2_dry_CVI,0.05161910332781975,RF_rank_only,35,35,2024,1
DEM_elevation,0.04414313043763788,RF_rank_only,35,35,2024,2
S2_dry_MNDWI,0.04293766295737664,RF_rank_only,35,35,2024,3
S2_wet_NBR2,0.042319804283822406,RF_rank_only,35,35,2024,4
S1_VHasc_p50,0.034693523946250734,RF_rank_only,35,35,2024,5
S2_dry_B11,0.03226625338022121,RF_rank_only,35,35,2024,6
S1_VVasc_p50,0.03137153774591463,RF_rank_only,35,35,2024,7
