block_id,n_samples,n_classes,lon_mean,lat_mean,x_mean,y_mean
18_135,15,2,108.10738455809732,12.267264761412127,185303.71373490995,1357796.5669326417
24_139,15,2,108.63916325122183,12.604558195524765,243522.15736022827,1394559.6630714575
16_138,14,1,107.95532801326195,12.532890602157709,169082.99959005698,1387390.0519579495
23_143,14,1,108.5412220746402,12.967059212048161,233257.51792369242,1434777.8605915697
24_136,14,1,108.65562252607283,12.329787932956028,245042.531605413,1364135.719122202
24_142,14,1,108.65958794639843,12.906686008417585,246044.00890306645,1427975.5778114682
22_141,12,3,108.44616320681304,12.754871794824345,222705.5068967416,1411393.396491641
24_137,12,1,108.6502454674436,12.4351089834813,244560.0308092383,1375796.3508168722
12_143,11,2,107.54670189016439,12.952354840826029,125242.94770229599,1434400.5327871677
21_139,11,2,108.3757570658783,12.641423421484513,214929.79870153786,1398912.1082762606
25_142,11,2,108.72801098828931,12.896732791733864,253462.5386965325,1426807.3479571326
16_142,11,1,107.90094843920564,12.857713242392746,163595.41682935832,1423426.9359827877
18_147,11,1,108.0911381178589,13.308757346549157,184831.73746435615,1473123.3853516532
24_140,11,1,108.66921216969239,12.71229233089896,246894.77742371682,1406452.9379075586
19_140,10,1,108.22413859557435,12.716102004353885,198536.17935222952,1407349.310010202
18_144,9,1,108.0863979168041,13.064902857256094,184004.2150881224,1446130.4974047735
19_144,9,1,108.16877342835787,13.047545409710718,192923.49348842163,1444107.4670633106
23_136,9,1,108.5904825478473,12.341170157964735,237965.9162442542,1365458.2119151205
14_143,8,2,107.71265134752593,12.94925973634711,143265.78725552018,1433819.742176568
13_143,8,1,107.65760707849152,12.955806208980128,137296.11611746912,1434622.5132246392
18_138,8,1,108.1359038225799,12.555112676498617,188751.41016920068,1389630.2570450294
20_143,8,1,108.26243153034814,12.978825538135691,203006.88972855872,1436388.5337397002
24_143,8,1,108.63141453330023,12.949787496576528,243029.60450012964,1432773.7793160782
27_140,8,1,108.94569013544945,12.726522461649672,276942.970876027,1407774.4995257056
19_135,7,2,108.20264704405555,12.246764351090155,195651.7941477956,1355417.714428739
13_142,7,1,107.65996194784347,12.857618744291429,137410.20607395543,1423744.308664761
20_138,7,1,108.2490257788671,12.525755412186703,201019.5467178605,1386249.286170796
20_135,6,1,108.28445148375012,12.247765330978174,204559.21521702115,1355437.4855940745
24_138,6,1,108.62212819905066,12.544898083122108,241611.01205957556,1387973.722146989
14_142,5,2,107.70596339023568,12.890851276573656,142456.03683366062,1427360.2294154693
12_145,5,1,107.58258876911471,13.173820591071305,129472.63622664823,1458878.5911510913
15_146,5,1,107.80454450951495,13.27470139747793,153703.8185344724,1469733.348579761
16_144,5,1,107.93435106807021,13.045918460918369,167474.6533305326,1444223.3261506348
17_146,5,1,108.00001791533937,13.252620807794269,174876.17874679164,1467024.9472258482
18_136,5,1,108.09256235590935,12.308132118071006,183738.79594660187,1362338.2813763246
21_136,5,1,108.37917883046052,12.320582767908903,214950.4478831423,1363395.5405194224
22_143,5,1,108.48099388476263,12.972705765262628,226726.0718810212,1435466.5580394783
26_142,5,1,108.81310104530162,12.847211120071131,262653.21478230634,1421247.0604809497
20_139,4,1,108.2564914205319,12.642485066820292,201966.38949023158,1399162.6378906262
21_135,4,1,108.38324370712117,12.269324897797043,215337.57890036108,1357717.5713912463
22_136,4,1,108.4901656838135,12.340606215591926,227049.30700507032,1365496.0858973523
23_139,4,1,108.55944825010121,12.584498815230377,234836.83007170627,1392418.751028201
23_141,4,1,108.52340334932592,12.792458803504045,231137.04358147242,1415471.9175934966
15_143,3,1,107.81015598565642,12.917908532931337,153813.55477994817,1430213.5312492065
15_148,3,1,107.78275736949077,13.368862805559337,151475.56293401102,1480191.699576324
16_137,3,1,107.95211974439012,12.409132699848845,168576.44838703814,1373691.0064083098
20_136,3,1,108.29422814842563,12.32747584052238,205712.51877003815,1364250.2131627852
21_143,3,1,108.34222812844041,12.96183615032478,211649.9797147372,1434416.2169007056
25_140,3,1,108.75263843791181,12.6635954759971,255911.91118584838,1400984.6073514537
25_143,3,1,108.71754425414555,12.933569162717822,252362.38734531414,1430893.831568119
12_142,2,1,107.57895957536685,12.883503057549559,128645.34790076705,1426726.9363816702
13_144,2,1,107.67036315552602,13.018924086630577,138773.07179280865,1441594.8933971352
