table,feature,sensor_group,missing_rate,zero_rate
validation,S2_dry_NDMI,S2,0.0,0.0
validation,S2_dry_NDVI,S2,0.0,0.0
validation,S2_dry_NDVI_RE,S2,0.0,0.0
validation,S2_dry_NDWI,S2,0.0,0.0
validation,S2_dry_NLI,S2,0.0,0.0
validation,S2_dry_PSRI,S2,0.0,0.0
validation,S2_dry_RDVI,S2,0.0,0.0
validation,S2_dry_SR,S2,0.0,0.0
validation,S2_wet_B11,S2,0.0,0.0
validation,S2_wet_B12,S2,0.0,0.0
validation,S2_wet_B2,S2,0.0,0.0
validation,S2_wet_B3,S2,0.0,0.0
validation,S2_wet_B4,S2,0.0,0.0
validation,S2_wet_B5,S2,0.0,0.0
validation,S2_wet_B6,S2,0.0,0.0
validation,S2_wet_B7,S2,0.0,0.0
validation,S2_wet_B8,S2,0.0,0.0011111111111111111
validation,S2_wet_CI_RE,S2,0.0,0.0
validation,S2_wet_CVI,S2,0.0,0.0011111111111111111
validation,S2_wet_GNDVI,S2,0.0,0.0
validation,S2_wet_MNDWI,S2,0.0,0.0
validation,S2_wet_MSR,S2,0.0,0.0011111111111111111
validation,S2_wet_MTCI,S2,0.0,0.0
validation,S2_wet_NBR,S2,0.0,0.0
validation,S2_wet_NBR2,S2,0.0,0.0
validation,S2_wet_NDI,S2,0.0,0.0
validation,S2_wet_NDMI,S2,0.0,0.0
validation,S2_wet_NDVI,S2,0.0,0.0011111111111111111
validation,S2_wet_NDVI_RE,S2,0.0,0.0
validation,S2_wet_NDWI,S2,0.0,0.0
validation,S2_wet_NLI,S2,0.0,0.0
validation,S2_wet_PSRI,S2,0.0,0.0022222222222222222
validation,S2_wet_RDVI,S2,0.0,0.0011111111111111111
validation,S2_wet_SR,S2,0.0,0.0011111111111111111
