block_size_km,fold,feature,ranking_importance,rank,selected,source_group,season_or_orbit,feature_family
10,2,L89_dry_Red,0.017159944879734927,5,True,Landsat 8/9 optical,dry,spectral_band_or_percentile
10,2,S2_wet_NDWI,0.017041605354511925,6,True,Sentinel-2 optical,wet,spectral_index
10,2,S2_dry_B12,0.01680335124749276,7,False,Sentinel-2 optical,dry,spectral_band_or_percentile
10,2,L89_dry_SWIR1,0.015816580458223636,8,False,Landsat 8/9 optical,dry,spectral_band_or_percentile
10,2,L89_dry_SWIR2_p75,0.01581084065827875,9,True,Landsat 8/9 optical,dry,spectral_band_or_percentile
10,2,S2_dry_B2,0.015654396984396163,10,True,Sentinel-2 optical,dry,spectral_band_or_percentile
10,2,S2_dry_NDI,0.015645999887707197,11,True,Sentinel-2 optical,dry,spectral_index
10,2,L89_dry_Blue,0.01564207373839013,12,False,Landsat 8/9 optical,dry,spectral_band_or_percentile
10,2,L89_dry_Green,0.015162623690976495,13,False,Landsat 8/9 optical,dry,spectral_band_or_percentile
10,2,S2_wet_NBR2,0.01489127497513886,14,True,Sentinel-2 optical,wet,spectral_index
10,2,S1_VHasc_p50,0.014642957234180078,15,True,Sentinel-1 SAR,ascending,sar_backscatter_metric
10,2,S2_dry_B7,0.014171294733354834,16,True,Sentinel-2 optical,dry,spectral_band_or_percentile
10,2,S2_dry_NBR2,0.013998099256560996,17,True,Sentinel-2 optical,dry,spectral_index
10,2,S2_dry_B8,0.013788970908049564,18,False,Sentinel-2 optical,dry,spectral_band_or_percentile
10,2,S2_dry_B3,0.013635065592619311,19,False,Sentinel-2 optical,dry,spectral_band_or_percentile
10,2,S2_dry_NDWI,0.013613122661690747,20,False,Sentinel-2 optical,dry,spectral_index
10,2,L89_dry_NDMI,0.013535795308752912,21,True,Landsat 8/9 optical,dry,spectral_index
10,2,S2_dry_GNDVI,0.013380061717147897,22,False,Sentinel-2 optical,dry,spectral_index
10,2,S2_dry_NLI,0.0133423215390531,23,True,Sentinel-2 optical,dry,spectral_index
10,2,L89_wet_NBR2,0.013340954694969142,24,True,Landsat 8/9 optical,wet,spectral_index
10,2,L89_dry_NIR,0.013241761576830482,25,False,Landsat 8/9 optical,dry,spectral_band_or_percentile
10,2,S2_dry_B6,0.013109582036461974,26,False,Sentinel-2 optical,dry,spectral_band_or_percentile
10,2,S2_wet_NBR,0.01301272280901405,27,False,Sentinel-2 optical,wet,spectral_index
10,2,L89_dry_NBR,0.012711017972517915,28,False,Landsat 8/9 optical,dry,spectral_index
10,2,L89_dry_SWIR2,0.012625409062861963,29,False,Landsat 8/9 optical,dry,spectral_band_or_percentile
10,2,L89_dry_MSI,0.012593269314156769,30,True,Landsat 8/9 optical,dry,spectral_index
10,2,S2_dry_MSR,0.012530382099851845,31,False,Sentinel-2 optical,dry,spectral_index
10,2,S1_VVasc_p50,0.012288544005672081,32,True,Sentinel-1 SAR,ascending,sar_backscatter_metric
10,2,L89_dry_BSI,0.012173789080978577,33,False,Landsat 8/9 optical,dry,spectral_index
10,2,L89_dry_NDVI,0.012156913054881216,34,False,Landsat 8/9 optical,dry,spectral_index
10,2,S2_wet_CVI,0.011976512386530963,35,True,Sentinel-2 optical,wet,spectral_index
10,2,S2_wet_GNDVI,0.011890162426352668,36,False,Sentinel-2 optical,wet,spectral_index
10,2,L89_dry_NBR2,0.011882475395787172,37,False,Landsat 8/9 optical,dry,spectral_index
10,2,S2_dry_B5,0.011815087463931511,38,True,Sentinel-2 optical,dry,spectral_band_or_percentile
10,2,S2_dry_NDVI_RE,0.011711095566769539,39,False,Sentinel-2 optical,dry,spectral_index
10,2,S2_wet_B12,0.011568235143419894,40,True,Sentinel-2 optical,wet,spectral_band_or_percentile
10,2,S2_wet_B11,0.011195608900534308,41,True,Sentinel-2 optical,wet,spectral_band_or_percentile
10,2,S2_dry_PSRI,0.011014257622339024,42,True,Sentinel-2 optical,dry,spectral_index
10,2,S2_dry_MTCI,0.010973905167543999,43,True,Sentinel-2 optical,dry,spectral_index
10,2,S2_wet_NDVI_RE,0.01080887083706088,44,False,Sentinel-2 optical,wet,spectral_index
10,2,S2_dry_NBR,0.010694285034480971,45,False,Sentinel-2 optical,dry,spectral_index
10,2,S2_wet_B8,0.010507760065189203,46,True,Sentinel-2 optical,wet,spectral_band_or_percentile
