feature,source_group,season_or_orbit,feature_family,n,missing_count,missing_pct,inf_count,zero_count,zero_pct,finite_count,mean,std,min,p01,p25,median,p75,p99,max,all_missing,constant_or_near_constant
S1_VHdesc_p75,Sentinel-1 SAR,descending,sar_backscatter_metric,3000,0,0.0,0,0,0.0,3000,-14.441173071466668,3.755002634131172,-33.166954,-26.970682,-15.64901725,-13.777574999999999,-12.3425535,-7.084194703000004,2.0741735,False,False
S1_VHdesc_std,Sentinel-1 SAR,descending,sar_backscatter_metric,3000,0,0.0,0,0,0.0,3000,2.094256741885,1.596588271730383,0.015269275,0.20805399730000002,1.05587935,1.70975805,2.6354332,8.554667649999988,13.493084,False,False
S1_VVasc_p50,Sentinel-1 SAR,ascending,sar_backscatter_metric,3000,0,0.0,0,0,0.0,3000,-9.562066648855668,4.156376912596246,-23.629711,-20.92685686,-10.6053825,-9.402175,-8.28031675,3.8288004839999568,19.036789,False,False
S1_VVdesc_p25,Sentinel-1 SAR,descending,sar_backscatter_metric,3000,0,0.0,0,0,0.0,3000,-11.78419299857,4.331303294131709,-36.52226,-25.24447272,-13.253486500000001,-11.1170425,-9.413349,-2.1132158370000576,5.794845,False,False
S1_VVdesc_p50,Sentinel-1 SAR,descending,sar_backscatter_metric,3000,0,0.0,0,0,0.0,3000,-9.589802851824667,3.965665412027917,-35.844635,-22.211740619999997,-10.6977335,-9.031414,-7.614798175,-0.2299854282000285,7.3240795,False,False
S1_VVdesc_p75,Sentinel-1 SAR,descending,sar_backscatter_metric,3000,0,0.0,0,0,0.0,3000,-7.611107908,3.80375118848652,-24.143456,-19.99234033,-8.722980374999999,-7.185195650000001,-5.764802075,1.3150995439999684,10.110648,False,False
S1_VVdesc_std,Sentinel-1 SAR,descending,sar_backscatter_metric,3000,0,0.0,0,0,0.0,3000,1.7811456873249996,1.0928554260279717,0.021278847,0.1801694433,0.9981955324999999,1.5910695000000001,2.2823855,5.370038069999995,7.9578342,False,False
S1_VVminusVH_asc_p50,Sentinel-1 SAR,ascending,sar_backscatter_metric,3000,0,0.0,0,0,0.0,3000,7.098535321976667,1.9243305482030637,-1.6494774,4.354300697,6.018457325,6.63747865,7.68534275,15.298413719999976,23.245298,False,False
S1_VVminusVH_desc_p50,Sentinel-1 SAR,descending,sar_backscatter_metric,3000,0,0.0,0,0,0.0,3000,6.995082675998667,2.6537516374841186,-4.414958,1.278937838,5.220480325,6.7396493,8.44631375,14.341713,24.327854,False,False
S2_dry_B11,Sentinel-2 optical,dry,spectral_band_or_percentile,3000,0,0.0,0,0,0.0,3000,0.20333537213233335,0.08854177115583557,0.00545,0.013199,0.1634,0.19645,0.2351,0.46370150019999995,0.60889995,False,False
S2_dry_B12,Sentinel-2 optical,dry,spectral_band_or_percentile,3000,0,0.0,0,0,0.0,3000,0.13762017503866666,0.08596542783779869,0.0044,0.00995000099,0.0872,0.11877499999999999,0.15675,0.40510599999999986,0.5882,False,False
S2_dry_B2,Sentinel-2 optical,dry,spectral_band_or_percentile,3000,0,0.0,0,0,0.0,3000,0.051352583371,0.026500865406778044,0.016800001,0.021398999999999998,0.034,0.0406,0.057925000000000004,0.13240099999999996,0.2102,False,False
S2_dry_B3,Sentinel-2 optical,dry,spectral_band_or_percentile,3000,0,0.0,0,0,0.0,3000,0.073825366717,0.03138191963095969,0.0277,0.0375,0.0532375,0.061899997,0.082825,0.16940699999999984,0.239,False,False
S2_dry_B4,Sentinel-2 optical,dry,spectral_band_or_percentile,3000,0,0.0,0,0,0.0,3000,0.07676715556166668,0.04824643773251264,0.0158,0.0202,0.041,0.0605000015,0.10011250099999999,0.23400599999999988,0.30449998,False,False
S2_dry_B5,Sentinel-2 optical,dry,spectral_band_or_percentile,3000,0,0.0,0,0,0.0,3000,0.117387041599,0.04386596512522103,0.013499999,0.02929850002,0.0922625,0.109,0.1290625,0.267501,0.3428,False,False
S2_dry_B6,Sentinel-2 optical,dry,spectral_band_or_percentile,3000,0,0.0,0,0,0.0,3000,0.2053569741462,0.06638971826667084,0.0062499996,0.018048500000000002,0.17527500000000001,0.216825,0.24905,0.32130249999999994,0.4144,False,False
S2_dry_B7,Sentinel-2 optical,dry,spectral_band_or_percentile,3000,0,0.0,0,0,0.0,3000,0.24369337333333332,0.08521539855333751,0.00635,0.0194485,0.1964,0.25995,0.30286250000000003,0.39496049999999977,0.4961,False,False
