block_size_km,fold,rank_selected,feature,source_group,season_or_orbit,feature_family
15,2,4,S2_wet_NBR2,Sentinel-2 optical,wet,spectral_index
15,2,5,S2_dry_B12,Sentinel-2 optical,dry,spectral_band_or_percentile
15,2,6,L89_dry_Green,Landsat 8/9 optical,dry,spectral_band_or_percentile
15,2,7,S2_dry_B2,Sentinel-2 optical,dry,spectral_band_or_percentile
15,2,8,S2_wet_GNDVI,Sentinel-2 optical,wet,spectral_index
15,2,9,S2_dry_MNDWI,Sentinel-2 optical,dry,spectral_index
15,2,10,S2_dry_B6,Sentinel-2 optical,dry,spectral_band_or_percentile
15,2,11,S1_VHasc_p50,Sentinel-1 SAR,ascending,sar_backscatter_metric
15,2,12,L89_dry_NBR,Landsat 8/9 optical,dry,spectral_index
15,2,13,L89_wet_NBR2,Landsat 8/9 optical,wet,spectral_index
15,2,14,S2_dry_NDI,Sentinel-2 optical,dry,spectral_index
15,2,15,S2_dry_SR,Sentinel-2 optical,dry,spectral_index
15,2,16,S2_wet_CVI,Sentinel-2 optical,wet,spectral_index
15,2,17,S2_wet_CI_RE,Sentinel-2 optical,wet,spectral_index
15,2,18,S2_wet_B12,Sentinel-2 optical,wet,spectral_band_or_percentile
15,2,19,S1_VVasc_p50,Sentinel-1 SAR,ascending,sar_backscatter_metric
15,2,20,L89_dry_NDVI,Landsat 8/9 optical,dry,spectral_index
15,2,21,DEM_slope,DEM/topography,static_or_annual,topographic
15,2,22,S2_wet_B11,Sentinel-2 optical,wet,spectral_band_or_percentile
15,2,23,S2_wet_B8,Sentinel-2 optical,wet,spectral_band_or_percentile
15,2,24,L89_dry_MSI,Landsat 8/9 optical,dry,spectral_index
15,2,25,S2_dry_B5,Sentinel-2 optical,dry,spectral_band_or_percentile
15,3,1,S2_dry_CVI,Sentinel-2 optical,dry,spectral_index
15,3,2,DEM_elevation,DEM/topography,static_or_annual,topographic
15,3,3,S2_dry_B11,Sentinel-2 optical,dry,spectral_band_or_percentile
15,3,4,S2_dry_MNDWI,Sentinel-2 optical,dry,spectral_index
15,3,5,S2_dry_B8,Sentinel-2 optical,dry,spectral_band_or_percentile
15,3,6,S2_wet_NDWI,Sentinel-2 optical,wet,spectral_index
15,3,7,L89_dry_Green,Landsat 8/9 optical,dry,spectral_band_or_percentile
15,3,8,L89_dry_SWIR2_p75,Landsat 8/9 optical,dry,spectral_band_or_percentile
15,3,9,S2_dry_NBR2,Sentinel-2 optical,dry,spectral_index
15,3,10,S1_VVasc_p50,Sentinel-1 SAR,ascending,sar_backscatter_metric
15,3,11,S2_wet_NBR2,Sentinel-2 optical,wet,spectral_index
15,3,12,S1_VHasc_p50,Sentinel-1 SAR,ascending,sar_backscatter_metric
15,3,13,S2_dry_NDI,Sentinel-2 optical,dry,spectral_index
15,3,14,S2_dry_B2,Sentinel-2 optical,dry,spectral_band_or_percentile
15,3,15,L89_wet_NBR2,Landsat 8/9 optical,wet,spectral_index
15,3,16,S2_dry_NBR,Sentinel-2 optical,dry,spectral_index
15,3,17,S2_dry_B5,Sentinel-2 optical,dry,spectral_band_or_percentile
15,3,18,S2_dry_NDWI,Sentinel-2 optical,dry,spectral_index
15,3,19,S2_dry_CI_RE,Sentinel-2 optical,dry,spectral_index
15,3,20,S2_wet_CVI,Sentinel-2 optical,wet,spectral_index
15,3,21,S2_wet_CI_RE,Sentinel-2 optical,wet,spectral_index
15,3,22,S2_wet_B12,Sentinel-2 optical,wet,spectral_band_or_percentile
15,3,23,L89_dry_MSI,Landsat 8/9 optical,dry,spectral_index
15,3,24,DEM_slope,DEM/topography,static_or_annual,topographic
15,3,25,S2_wet_MTCI,Sentinel-2 optical,wet,spectral_index
15,4,1,S2_dry_CVI,Sentinel-2 optical,dry,spectral_index
15,4,2,S2_dry_MNDWI,Sentinel-2 optical,dry,spectral_index
15,4,3,S2_dry_B11,Sentinel-2 optical,dry,spectral_band_or_percentile
15,4,4,DEM_elevation,DEM/topography,static_or_annual,topographic
15,4,5,S2_wet_NBR2,Sentinel-2 optical,wet,spectral_index
15,4,6,L89_dry_BSI,Landsat 8/9 optical,dry,spectral_index
15,4,7,L89_dry_NDVI,Landsat 8/9 optical,dry,spectral_index
15,4,8,S1_VHasc_p50,Sentinel-1 SAR,ascending,sar_backscatter_metric
15,4,9,L89_dry_NIR,Landsat 8/9 optical,dry,spectral_band_or_percentile
15,4,10,S2_dry_NBR2,Sentinel-2 optical,dry,spectral_index
15,4,11,S2_wet_NLI,Sentinel-2 optical,wet,spectral_index
15,4,12,L89_wet_NBR2,Landsat 8/9 optical,wet,spectral_index
15,4,13,L89_dry_MSI,Landsat 8/9 optical,dry,spectral_index
15,4,14,S1_VVasc_p50,Sentinel-1 SAR,ascending,sar_backscatter_metric
15,4,15,S2_dry_GNDVI,Sentinel-2 optical,dry,spectral_index
15,4,16,S2_wet_B12,Sentinel-2 optical,wet,spectral_band_or_percentile
15,4,17,S2_wet_NBR,Sentinel-2 optical,wet,spectral_index
15,4,18,L89_dry_Green,Landsat 8/9 optical,dry,spectral_band_or_percentile
15,4,19,S2_dry_NDI,Sentinel-2 optical,dry,spectral_index
15,4,20,S2_dry_SR,Sentinel-2 optical,dry,spectral_index
15,4,21,L89_wet_NBR,Landsat 8/9 optical,wet,spectral_index
15,4,22,S2_dry_NDMI,Sentinel-2 optical,dry,spectral_index
15,4,23,S2_wet_MTCI,Sentinel-2 optical,wet,spectral_index
15,4,24,S2_dry_B2,Sentinel-2 optical,dry,spectral_band_or_percentile
15,4,25,L89_wet_SWIR2,Landsat 8/9 optical,wet,spectral_band_or_percentile
15,5,1,S2_dry_MNDWI,Sentinel-2 optical,dry,spectral_index
15,5,2,S2_dry_CVI,Sentinel-2 optical,dry,spectral_index
15,5,3,DEM_elevation,DEM/topography,static_or_annual,topographic
15,5,4,S2_dry_B11,Sentinel-2 optical,dry,spectral_band_or_percentile
15,5,5,S2_wet_NBR2,Sentinel-2 optical,wet,spectral_index
15,5,6,S1_VHasc_p50,Sentinel-1 SAR,ascending,sar_backscatter_metric
15,5,7,S2_dry_B2,Sentinel-2 optical,dry,spectral_band_or_percentile
15,5,8,L89_dry_SWIR2,Landsat 8/9 optical,dry,spectral_band_or_percentile
15,5,9,S2_dry_NDWI,Sentinel-2 optical,dry,spectral_index
15,5,10,S2_dry_B6,Sentinel-2 optical,dry,spectral_band_or_percentile
15,5,11,S2_dry_NBR2,Sentinel-2 optical,dry,spectral_index
15,5,12,L89_dry_Blue,Landsat 8/9 optical,dry,spectral_band_or_percentile
15,5,13,L89_dry_NDMI,Landsat 8/9 optical,dry,spectral_index
15,5,14,L89_dry_NDVI,Landsat 8/9 optical,dry,spectral_index
15,5,15,L89_wet_NBR2,Landsat 8/9 optical,wet,spectral_index
15,5,16,S2_wet_NDVI_RE,Sentinel-2 optical,wet,spectral_index
15,5,17,S2_wet_B12,Sentinel-2 optical,wet,spectral_band_or_percentile
15,5,18,S2_wet_CVI,Sentinel-2 optical,wet,spectral_index
15,5,19,S2_dry_NDI,Sentinel-2 optical,dry,spectral_index
15,5,20,S2_dry_PSRI,Sentinel-2 optical,dry,spectral_index
15,5,21,L89_dry_MSI,Landsat 8/9 optical,dry,spectral_index
15,5,22,S2_dry_SR,Sentinel-2 optical,dry,spectral_index
15,5,23,S2_dry_B5,Sentinel-2 optical,dry,spectral_band_or_percentile
15,5,24,S2_wet_SR,Sentinel-2 optical,wet,spectral_index
15,5,25,S2_wet_B6,Sentinel-2 optical,wet,spectral_band_or_percentile
20,1,1,S2_dry_MNDWI,Sentinel-2 optical,dry,spectral_index
20,1,2,S2_dry_CVI,Sentinel-2 optical,dry,spectral_index
20,1,3,L89_dry_NIR,Landsat 8/9 optical,dry,spectral_band_or_percentile
20,1,4,L89_dry_BSI,Landsat 8/9 optical,dry,spectral_index
20,1,5,S2_dry_B11,Sentinel-2 optical,dry,spectral_band_or_percentile
20,1,6,S2_dry_NBR2,Sentinel-2 optical,dry,spectral_index
20,1,7,L89_wet_NBR2,Landsat 8/9 optical,wet,spectral_index
20,1,8,S2_dry_GNDVI,Sentinel-2 optical,dry,spectral_index
20,1,9,S2_wet_NBR2,Sentinel-2 optical,wet,spectral_index
20,1,10,S1_VVasc_p50,Sentinel-1 SAR,ascending,sar_backscatter_metric
20,1,11,DEM_elevation,DEM/topography,static_or_annual,topographic
20,1,12,L89_dry_SWIR2_p75,Landsat 8/9 optical,dry,spectral_band_or_percentile
20,1,13,L89_dry_Green,Landsat 8/9 optical,dry,spectral_band_or_percentile
20,1,14,S2_wet_GNDVI,Sentinel-2 optical,wet,spectral_index
20,1,15,L89_dry_MSI,Landsat 8/9 optical,dry,spectral_index
20,1,16,S2_wet_NBR,Sentinel-2 optical,wet,spectral_index
20,1,17,L89_dry_NDVI,Landsat 8/9 optical,dry,spectral_index
20,1,18,S2_dry_B2,Sentinel-2 optical,dry,spectral_band_or_percentile
20,1,19,S2_wet_MSR,Sentinel-2 optical,wet,spectral_index
20,1,20,S2_wet_B6,Sentinel-2 optical,wet,spectral_band_or_percentile
20,1,21,S2_wet_B12,Sentinel-2 optical,wet,spectral_band_or_percentile
20,1,22,S2_dry_PSRI,Sentinel-2 optical,dry,spectral_index
20,1,23,S2_dry_NDMI,Sentinel-2 optical,dry,spectral_index
20,1,24,S2_dry_NDI,Sentinel-2 optical,dry,spectral_index
20,1,25,S2_wet_B11,Sentinel-2 optical,wet,spectral_band_or_percentile
20,2,1,S2_dry_CVI,Sentinel-2 optical,dry,spectral_index
20,2,2,S2_dry_MNDWI,Sentinel-2 optical,dry,spectral_index
20,2,3,DEM_elevation,DEM/topography,static_or_annual,topographic
20,2,4,S2_dry_B11,Sentinel-2 optical,dry,spectral_band_or_percentile
20,2,5,S2_dry_B2,Sentinel-2 optical,dry,spectral_band_or_percentile
20,2,6,L89_dry_Red,Landsat 8/9 optical,dry,spectral_band_or_percentile
20,2,7,S1_VHasc_p50,Sentinel-1 SAR,ascending,sar_backscatter_metric
20,2,8,L89_dry_SWIR2,Landsat 8/9 optical,dry,spectral_band_or_percentile
20,2,9,S2_wet_NBR2,Sentinel-2 optical,wet,spectral_index
20,2,10,L89_dry_MSI,Landsat 8/9 optical,dry,spectral_index
20,2,11,S2_dry_B6,Sentinel-2 optical,dry,spectral_band_or_percentile
20,2,12,S2_dry_NBR2,Sentinel-2 optical,dry,spectral_index
20,2,13,S2_dry_NDI,Sentinel-2 optical,dry,spectral_index
20,2,14,L89_wet_NBR2,Landsat 8/9 optical,wet,spectral_index
20,2,15,S2_wet_NDWI,Sentinel-2 optical,wet,spectral_index
20,2,16,S1_VVasc_p50,Sentinel-1 SAR,ascending,sar_backscatter_metric
20,2,17,L89_dry_NDVI,Landsat 8/9 optical,dry,spectral_index
20,2,18,S2_dry_SR,Sentinel-2 optical,dry,spectral_index
20,2,19,S2_wet_B12,Sentinel-2 optical,wet,spectral_band_or_percentile
20,2,20,L89_dry_NDMI,Landsat 8/9 optical,dry,spectral_index
20,2,21,S2_wet_CVI,Sentinel-2 optical,wet,spectral_index
20,2,22,S2_wet_SR,Sentinel-2 optical,wet,spectral_index
20,2,23,S2_dry_B5,Sentinel-2 optical,dry,spectral_band_or_percentile
20,2,24,S2_dry_PSRI,Sentinel-2 optical,dry,spectral_index
20,2,25,S2_wet_NLI,Sentinel-2 optical,wet,spectral_index
20,3,1,S2_dry_CVI,Sentinel-2 optical,dry,spectral_index
20,3,2,S2_dry_B11,Sentinel-2 optical,dry,spectral_band_or_percentile
20,3,3,DEM_elevation,DEM/topography,static_or_annual,topographic
20,3,4,S2_wet_NBR2,Sentinel-2 optical,wet,spectral_index
20,3,5,S1_VHasc_p50,Sentinel-1 SAR,ascending,sar_backscatter_metric
20,3,6,S2_dry_MNDWI,Sentinel-2 optical,dry,spectral_index
