block_size_km,fold,feature,final_rf_importance,source_group,season_or_orbit,feature_family
15,1,S2_dry_CVI,0.0669210902782574,Sentinel-2 optical,dry,spectral_index
15,1,S2_dry_MNDWI,0.060750642317127006,Sentinel-2 optical,dry,spectral_index
15,1,DEM_elevation,0.06060087941086331,DEM/topography,static_or_annual,topographic
15,1,S2_wet_NBR2,0.05366043637519045,Sentinel-2 optical,wet,spectral_index
15,1,S2_dry_B11,0.04904991732374749,Sentinel-2 optical,dry,spectral_band_or_percentile
15,1,S2_dry_B2,0.046262711916413006,Sentinel-2 optical,dry,spectral_band_or_percentile
15,1,L89_dry_Green,0.04232376641654561,Landsat 8/9 optical,dry,spectral_band_or_percentile
15,1,S1_VHasc_p50,0.042190709462234355,Sentinel-1 SAR,ascending,sar_backscatter_metric
15,1,L89_dry_SWIR2,0.04214444822267354,Landsat 8/9 optical,dry,spectral_band_or_percentile
15,1,S1_VVasc_p50,0.04214388830601431,Sentinel-1 SAR,ascending,sar_backscatter_metric
15,1,S2_dry_B6,0.04085420824795251,Sentinel-2 optical,dry,spectral_band_or_percentile
15,1,L89_dry_NDVI,0.038493632332423665,Landsat 8/9 optical,dry,spectral_index
15,1,L89_wet_NBR2,0.03805667336514283,Landsat 8/9 optical,wet,spectral_index
15,1,L89_dry_NBR2,0.037860731820646296,Landsat 8/9 optical,dry,spectral_index
15,1,S2_wet_GNDVI,0.0369482824076861,Sentinel-2 optical,wet,spectral_index
15,1,S2_dry_NDI,0.03638467947280103,Sentinel-2 optical,dry,spectral_index
15,1,L89_dry_BSI,0.035814466411846754,Landsat 8/9 optical,dry,spectral_index
15,1,L89_dry_MSI,0.03199330362899792,Landsat 8/9 optical,dry,spectral_index
15,1,S2_wet_B12,0.03182884539514335,Sentinel-2 optical,wet,spectral_band_or_percentile
15,1,S2_dry_PSRI,0.029586406748023413,Sentinel-2 optical,dry,spectral_index
15,1,S2_wet_CVI,0.028533576845425793,Sentinel-2 optical,wet,spectral_index
15,1,S2_dry_B4,0.0282309197277083,Sentinel-2 optical,dry,spectral_band_or_percentile
15,1,S2_wet_CI_RE,0.02776190017956644,Sentinel-2 optical,wet,spectral_index
15,1,S2_wet_B8,0.026467703975737333,Sentinel-2 optical,wet,spectral_band_or_percentile
15,1,S2_dry_NDMI,0.02513617941183174,Sentinel-2 optical,dry,spectral_index
