block_size_km,fold,class_id,class_name,producer_accuracy_recall,user_accuracy_precision,f1,support_true,support_pred
15,4,6,Rice,1.0,0.821917808219178,0.9022556390977443,60,73
15,4,7,Other upland crops,0.08571428571428572,0.6,0.15,70,10
15,4,8,Forest,0.9,0.8307692307692308,0.8640000000000001,60,65
15,4,9,Water,0.9666666666666667,0.9508196721311475,0.9586776859504132,60,61
15,4,10,Built,1.0,0.11013215859030837,0.1984126984126984,25,227
15,5,1,Sun coffee,,0.0,,0,5
15,5,2,Intercrop coffee,,,,0,0
15,5,3,Newly planted coffee,,,,0,0
15,5,4,Rubber,0.5294117647058824,1.0,0.6923076923076924,17,9
15,5,5,Partially vegetative,0.23529411764705882,0.6666666666666666,0.3478260869565218,17,6
15,5,6,Rice,1.0,0.7222222222222222,0.8387096774193548,26,36
15,5,7,Other upland crops,0.925,0.9024390243902439,0.9135802469135802,40,41
15,5,8,Forest,0.95,0.8028169014084507,0.8702290076335878,60,71
15,5,9,Water,0.8666666666666667,1.0,0.9285714285714286,60,52
15,5,10,Built,0.99,0.99,0.99,100,100
20,1,1,Sun coffee,0.5157894736842106,0.3277591973244147,0.4008179959100205,190,299
20,1,2,Intercrop coffee,0.37222222222222223,0.3743016759776536,0.3732590529247911,180,179
20,1,3,Newly planted coffee,0.32905982905982906,0.49044585987261147,0.3938618925831202,234,157
20,1,4,Rubber,0.37327188940092165,0.8901098901098901,0.5259740259740259,217,91
20,1,5,Partially vegetative,0.3761467889908257,0.6612903225806451,0.47953216374269003,218,124
20,1,6,Rice,1.0,0.7954545454545454,0.8860759493670886,70,88
20,1,7,Other upland crops,0.07777777777777778,0.6363636363636364,0.1386138613861386,90,11
20,1,8,Forest,0.9152542372881356,0.4,0.556701030927835,59,135
20,1,9,Water,0.9818181818181818,0.9473684210526315,0.9642857142857142,55,57
20,1,10,Built,0.9859154929577465,0.2880658436213992,0.445859872611465,71,243
20,2,1,Sun coffee,0.1,0.6666666666666666,0.1739130434782609,20,3
20,2,2,Intercrop coffee,1.0,0.15,0.2608695652173913,3,20
20,2,3,Newly planted coffee,,,,0,0
20,2,4,Rubber,1.0,1.0,1.0,53,53
20,2,5,Partially vegetative,,0.0,,0,6
20,2,6,Rice,0.8148148148148148,1.0,0.8979591836734693,135,110
20,2,7,Other upland crops,0.7741935483870968,0.7272727272727273,0.7500000000000001,31,33
20,2,8,Forest,0.9322033898305084,1.0,0.9649122807017544,59,55
20,2,9,Water,1.0,0.9464285714285714,0.9724770642201834,53,56
20,2,10,Built,0.9512195121951219,0.6610169491525424,0.78,41,59
20,3,1,Sun coffee,0.6888888888888889,0.33695652173913043,0.45255474452554745,90,184
20,3,2,Intercrop coffee,0.08547008547008547,0.23809523809523808,0.12578616352201258,117,42
20,3,3,Newly planted coffee,0.045454545454545456,1.0,0.08695652173913045,66,3
20,3,4,Rubber,0.7307692307692307,0.8636363636363636,0.7916666666666666,26,22
20,3,5,Partially vegetative,0.5230769230769231,0.3469387755102041,0.4171779141104294,65,98
20,3,6,Rice,1.0,0.47619047619047616,0.6451612903225806,20,42
20,3,7,Other upland crops,1.0,0.8571428571428571,0.923076923076923,30,35
20,3,8,Forest,0.9333333333333333,0.7777777777777778,0.8484848484848485,60,72
20,3,9,Water,0.7191011235955056,0.9846153846153847,0.8311688311688311,89,65
20,3,10,Built,0.9166666666666666,0.9166666666666666,0.9166666666666666,12,12
20,4,1,Sun coffee,,0.0,,0,3
20,4,2,Intercrop coffee,,,,0,0
20,4,3,Newly planted coffee,,,,0,0
20,4,4,Rubber,0.25,0.5,0.3333333333333333,4,2
20,4,5,Partially vegetative,,0.0,,0,3
20,4,6,Rice,1.0,1.0,1.0,49,49
20,4,7,Other upland crops,1.0,0.9393939393939394,0.96875,62,66
20,4,8,Forest,0.8666666666666667,0.9629629629629629,0.912280701754386,60,54
20,4,9,Water,0.9629629629629629,1.0,0.9811320754716981,54,52
20,4,10,Built,0.9797979797979798,0.9797979797979798,0.9797979797979798,99,99
20,5,1,Sun coffee,,,,0,0
20,5,2,Intercrop coffee,,,,0,0
20,5,3,Newly planted coffee,,0.0,,0,1
20,5,4,Rubber,,0.0,,0,2
20,5,5,Partially vegetative,0.23529411764705882,1.0,0.38095238095238093,17,4
20,5,6,Rice,1.0,0.7428571428571429,0.8524590163934427,26,35
20,5,7,Other upland crops,0.9310344827586207,0.9101123595505618,0.9204545454545454,87,89
20,5,8,Forest,0.8548387096774194,0.8412698412698413,0.848,62,63
20,5,9,Water,0.9387755102040817,0.9787234042553191,0.9583333333333333,49,47
20,5,10,Built,0.987012987012987,0.987012987012987,0.987012987012987,77,77
