DEM_elevation,S2_dry_CVI,S2_dry_MNDWI,L89_dry_SWIR1,L89_dry_NIR,S2_dry_B2,S1_VHasc_p50,L89_dry_Green,S2_wet_B12,L89_dry_MSI,S2_dry_B5,L89_wet_NBR2,S2_dry_NDI,S2_dry_NDMI,S2_wet_NBR2,S2_wet_B8,L89_wet_MSI,S2_wet_NDMI,L89_wet_NIR,L89_wet_Green,L89_wet_NDMI,S2_dry_NBR2,S2_wet_CVI,L89_dry_BSI,L89_wet_SWIR2
505.0,4.7365437,-0.5492614,0.17299625,0.24408375,0.0381,-15.6024065,0.0571525,0.13335,0.7159119,0.11045,0.2742699,-0.08437308,0.093201846,0.23673357,0.29514998,0.61329836,0.14715558,0.3132325,0.06785,0.24186093,0.19554073,4.1699677,-0.06013898,0.105525
512.0,4.568629,-0.53976834,0.19626126,0.23025125,0.0394,-17.098532,0.0621575,0.1452,0.8377649,0.1172,0.28723827,-0.1303209,0.032606035,0.21089584,0.293,0.56932133,0.09163681,0.3806625,0.07011875,0.2754062,0.16121326,3.7108095,0.01696638,0.11788625
496.0,4.616525,-0.5877649,0.147875,0.3181275,0.029,-13.810394,0.0415325,0.0966,0.4362716,0.08515,0.43200654,0.22926766,0.32094845,0.35515082,0.4156,0.4302272,0.35308483,0.455765,0.054375,0.39837924,0.35758054,3.2830777,-0.3523274,0.0761
473.0,4.554317,-0.57533866,0.158435,0.26541,0.0304,-15.849417,0.0468125,0.1333,0.5827493,0.08465,0.2964461,0.056899633,0.19105604,0.27272728,0.3445,0.4933098,0.21946901,0.3413925,0.0565475,0.33930683,0.2813544,3.2315624,-0.18650602,0.0875125
480.0,4.936043,-0.59462404,0.16433375,0.25071126,0.0328,-14.57821,0.045135,0.13714999,0.6795536,0.0962,0.30069467,0.0008733772,0.09789229,0.2670095,0.3446,0.68103296,0.14674762,0.2962375,0.069335,0.18974467,0.2708395,3.7904382,-0.110185154,0.1084675
452.0,4.777633,-0.6025641,0.1549425,0.2960725,0.0341,-13.237626,0.0427425,0.1391,0.52823186,0.0887,0.33277676,0.13375795,0.2449334,0.30213895,0.4188,0.63333046,0.23561792,0.3213725,0.0718375,0.22449194,0.32989693,4.49035,-0.24480951,0.101895
473.0,4.0258093,-0.5846645,0.1875025,0.23835,0.0436,-13.625477,0.047665,0.1359,0.7762368,0.1094,0.28920913,0.0,0.05083348,0.30910012,0.4508,0.76882905,0.272907,0.2958525,0.08116,0.13069151,0.26598957,3.5119276,-0.06091106,0.1254075
581.0,5.006404,-0.55933714,0.1692975,0.2519075,0.0347,-16.71155,0.0480225,0.1373,0.6713441,0.10705,0.33489364,-0.042958397,0.1288081,0.28987598,0.354,0.4601057,0.20654395,0.398785,0.0665575,0.36976385,0.2211824,4.1875815,-0.11282456,0.1036
534.0,5.341832,-0.58863395,0.160085,0.2361775,0.0355,-15.204376,0.0462625,0.135,0.69155616,0.1034,0.29770166,-0.010619467,0.13561866,0.25391352,0.2992,0.64883864,0.15572375,0.3150475,0.06037,0.21297495,0.25386637,3.9959571,-0.101550214,0.108165
531.0,5.3116426,-0.5941223,0.16476,0.2383775,0.0314,-15.55034,0.0463725,0.1399,0.7073294,0.0958,0.25308678,0.03615759,0.15555555,0.22156969,0.2868,0.7178185,0.112490304,0.27839,0.05828,0.16426738,0.21456954,4.094908,-0.08413035,0.1135
527.0,4.697248,-0.5614931,0.160415,0.22933,0.0372,-16.42045,0.0468125,0.1379,0.71879196,0.1032,0.23249999,-0.088235326,0.040791705,0.19852163,0.2222,0.76341724,0.0024390293,0.25001,0.06437125,0.13432217,0.19652484,3.4306989,-0.08189609,0.119275
608.0,3.9954436,-0.5689981,0.17387626,0.28763,0.0324,-15.514596,0.0497275,0.120000005,0.6224756,0.0984,0.3395026,0.09523811,0.16064703,0.31512645,0.3584,0.624998,0.24257776,0.304845,0.058775,0.23077078,0.28765503,3.2735724,-0.17020628,0.0939475
613.0,4.246465,-0.5967016,0.18753,0.29203,0.0319,-14.787471,0.050745,0.1307,0.68355006,0.1015,0.30614468,0.07204608,0.11468815,0.33683163,0.4188,0.71835184,0.27379677,0.30556,0.06027375,0.16542111,0.2766467,3.4881108,-0.13184725,0.11546625
611.0,4.807418,-0.586319,0.19248,0.22889,0.03875,-16.174139,0.052725,0.14975,0.87240595,0.113,0.23809975,-0.07207443,-0.018525051,0.26401523,0.3025,0.8247573,0.09342796,0.30787,0.09418125,0.09648174,0.20509791,3.9605691,0.0057504037,0.155465
619.0,3.8961484,-0.5252901,0.2024625,0.195945,0.0498,-17.792976,0.0613325,0.1247,1.055329,0.1339,0.19551468,-0.17647755,-0.09471461,0.23033111,0.227,0.9001028,0.13556777,0.20238,0.06486625,0.05366912,0.1266266,3.8298392,0.106625065,0.12483
622.0,4.0381117,-0.57786256,0.196165,0.243355,0.0386,-15.752307,0.055145,0.14115,0.7489298,0.1168,0.28993747,0.0027397212,0.06022529,0.25398162,0.3252,0.7443675,0.15733506,0.1974025,0.0561625,0.1465474,0.22682633,3.1665297,-0.06824571,0.080885
619.0,3.999111,-0.5073891,0.1896475,0.2101075,0.0505,-17.56448,0.057895,0.142,0.92037916,0.1311,0.19261217,-0.08813927,0.040501248,0.15137722,0.2768,0.87459284,0.1608889,0.228285,0.071535,0.066898346,0.15762274,3.2088244,0.05026037,0.1336025
626.0,4.3626256,-0.53760225,0.18330875,0.25508374,0.0387,-16.649559,0.0537425,0.136,0.71076274,0.1134,0.27405533,-0.03396455,0.09300077,0.22827205,0.3086,0.60862076,0.17155068,0.22450376,0.0542375,0.24630569,0.1927489,3.2076035,-0.081375286,0.0792075
625.0,4.2600093,-0.57682794,0.1771625,0.29036626,0.0332,-14.353438,0.05051125,0.1428,0.59880805,0.1039,0.0,0.06833211,0.12672469,0.2677346,0.4065,0.0,0.21126343,0.0,0.0,0.0,0.25523484,4.58548,-0.18551259,0.0
623.0,4.3682637,-0.56505984,0.1879425,0.22999,0.037,-15.219553,0.0498375,0.1233,0.74880284,0.1082,0.0,0.0066857752,0.04131204,0.26130295,0.34405,0.0,0.17090127,0.0,0.0,0.0,0.22659819,3.0087774,-0.07287316,0.0
629.0,4.3446846,-0.5692412,0.180655,0.241375,0.0342,-15.473944,0.0505525,0.1388,0.72690314,0.111,0.0,-0.02485659,0.09206619,0.25770983,0.2963,0.0,0.11642801,0.0,0.0,0.0,0.2174202,3.7194152,-0.078558184,0.0
625.0,4.4606433,-0.5967325,0.1674825,0.2612025,0.0329,-15.22017,0.047995,0.122600004,0.6373658,0.09595,0.23260635,0.051425364,0.13093802,0.29064342,0.3374,0.64332926,0.19735558,0.28940374,0.13312125,0.22859634,0.26637274,3.8196023,-0.15823606,0.149415
616.0,4.4027715,-0.5582269,0.16590124,0.24246125,0.0342,-15.763365,0.047885,0.13605,0.70895225,0.1001,0.29161054,-0.028697565,0.087950766,0.23800957,0.2905,0.70843685,0.13410024,0.275695,0.0601225,0.17066076,0.23572743,3.7631986,-0.09189184,0.10712
